реките реки
певица сингер
пм пм
щаб седиштето
гробницата гробницата
бог бог
игри игри
избор селекција
султан султан
негови негови
австрийски австрискиот
пътя пат
културно културолошки
види види
слави слави
официална формални
ранг ранг
ленин ленин
колоната колоната
като like
трио трио
шаблоните шаблоните
мъжка машко
пътища патеки
форест форест
континент континент
мануил мануил
словарь словарь
братя братя
състояние статус
религии религии
храма храма
съвместно заедничка
операции операции
подобен слични
палау палау
тунис тунис
постигнат постигнат
черна црни
декември декември
предварително напредување
втора втора
четвърти четвртата
спортни спорт
сити сити
основа база
звука звука
хоенцолерн хоенцолерн
сумата сумата
вицешампион вицешампион
свят свет
участие вклученост
важен битно
продажба продажба
носи носам
говори збори
пет петмина
официална формален
още уште
такава таква
решил решил
човек особа
комплекси комплекси
няколко неколку
елемента елемента
финансира финансира
баба baba
премести премести
произход потекло
редакциите редакциите
статуи статуи
характерни карактеристика
американските американските
трето трета
рудолф рудолф
купола купола
финалната финалната
дива дива
колега колега
тактика тактика
единственото единственото
учени стручњаци
швеция шведска
ахил ахил
каза рекол
известия известия
император император
изток источно
играе играј
храна оброк
гревена гревена
ел ел
пт пт
съдове контејнери
дял наслов
чрез преку
женски женско
плоча табла
можеш можеш
варна варна
дърво дрво
инженер инжинер
периоди периоди
пол паул
висок висок
процедура процедура
отдел оддел
южна јужни
страницата страница
йордан јордан
цивилни цивилни
ван van
борби борби
принцип начело
узунов узунов
керамика керамика
югозападна югозападна
ясно чисто
болести болести
социалистическа социјалистичко
западните вестерн
работил работил
тежки тешка
бивши поранешни
всичко се
продажбите продажбите
свазиленд свазиленд
империята империја
гласи гласи
високо високо
разположена лоцирано
издаден издадени
януари јануари
месеца месеца
загреб загреб
изкуство уметности
международни меѓународна
разположено лоциран
протест протест
цели метите
брат брат
анна ana
светла светла
последен последен
собственост поседуваше
нужда нужда
философски философски
североизток североисток
евгений евгений
такъв вакви
христово христово
пътища правци
възраждането възраждането
танци танци
ч ч
живо живо
лион лион
македонския македонския
последен последни
лицето лице
ограничена ограничена
грами грами
набор набор
п п
шарл чарлс
производство продукција
кмет градоначалник
служат служат
бяло бело
албуми албуми
архипелаг архипелаг
възстановяване реставрацијата
атанасов атанасов
географски географски
пазари пазари
втора втор
фронт предна
дома дома
седем seven
умира умираат
текстове текстови
секция отсек
гледна гледна
информация инфо
надморската надморската
кола кола
златен златно
ред ред
мир спокој
изграждане изградба
обекти субјекти
старо стар
националност националност
пожар пожар
колин колин
характер личност
помощник помошничка
дете кид
етнография етнография
ресторант ресторант
изпълнение настап
педро педро
северна северна
лисабон лисабон
принос влезни
такива таква
градски урбан
мелник мелник
карти карти
жертви жртви
среща датум
позволява дозволува
противник противник
картата мапата
няма няма
външни надворешно
всички сите
повест повест
какво какво
дунавската дунавската
челси челси
тирол тирол
разред разред
романски романски
състезания тркачки
лек лек
спечели победија
обратното обратното
държави државите
света светот
революционер револуционерен
космос вселена
водачи водачи
религиозни религиозен
местен местен
североизточна североисток
океана океана
височина висина
градче град
офицери полицајци
високо високиот
министрите министрите
никола nikola
специално поточно
сара сара
първото първото
борец борец
наследник наследничка
първи први
агнес агнес
птици птиците
средно средно
комнин комнин
техните нивно
доклад извештај
стигне стигне
берлин берлин
местен локална
музикален мјузикл
рота рота
национален национална
дядо дедо
среща средба
литературен литературен
римското римското
разрушен разрушен
данни податок
научни научен
нобелова нобел
педагог педагог
провинция провинција
западна вест
цел објективни
източна источни
редактира редактира
години години
венера венера
княжество кнежевство
възпитаници апсолвент
риби риби
кримската кримската
височина подигнување
номинирана номинирана
единствено единствено
газа газа
линии линии
продава продава
битка борба
програмата програм
четвърти четвртото
знае знае
придава придава
медии медии
пилотите пилотите
созопол созопол
изкуство уметничко
първо прво
нея неа
композиции композиции
горно горно
правна правна
диоксид диоксид
максимално максимално
приема прифаќа
близо близу
създаде создадена
нужда потреба
национално национален
римска римско
реал вистинска
финал финале
атлас атлас
рядко редок
лео лео
фон вон
ви ви
блек блек
наши наш
бкп бкп
райони региони
двата двата
нашето нашето
положение статус
специален посебно
османските османските
демо демо
клаус клаус
възстановяване обнови
баща татка
внук внук
статия член
конче конче
годишнина годишнина
лука лука
карл карл
сити градско
имена имена
офанзива офанзива
стабилна стабилна
основна основни
неговия неговите
показатели показатели
програми програми
палеолог палеолог
концерт концерт
действия дејствија
кой кој
марина марина
художествена уметничко
холмс холмс
наследник наследникот
започнала започнала
стари старо
поредица низа
сенегал сенегал
югозапад југозапад
прекрати прекрати
номиниран номиниран
лесно лесни
света свет
постоянно постојано
тексас тексас
топка топка
важна важно
метел метел
мъж маж
петата петата
авторитет авторитет
число број
герман герман
достъп пристап
разбирам разбирам
венец венец
членовете членовите
качеството квалитетно
изток источни
сами сами
турне турне
градът градски
морски наутички
века века
купа шолја
официално службен
вестници весник
вилает вилает
рядко ретко
крепост упориште
град градски
владимир vladimir
увеличава зголемува
отбори тимови
затворена затворена
вокали вокал
бивши поранешен
беневенто беневенто
яне яне
абдул абдул
енергия енергија
води водечки
лоренцо лоренцо
рак рак
официално официјална
акад акад
родена раѓа
резултат исход
помаци помаци
привилегии привилегии
сгради градби
католици католици
погрешно погрешно
расте расте
внимателно внимателно
малък малечко
направен направи
периода периода
цариградската цариградската
печалба печалба
драми драми
известни познати
преса преса
дружина дружина
поречието поречието
мюсюлмани муслиманска
образованието образованието
предполага сугерира
аспекти аспекти
поддръжка support
петрич петрич
чужбина странство
коли коли
количество количество
издадена издадено
учение учение
произход произход
срещи состаноци
турска турска
разни разни
сула сула
капацитет капацитет
важно важни
служба служба
лигата лигата
димитровград димитровград
подобни подобни
санчес санчес
публика публика
селското селското
губернатор губернатор
столицата столицата
фронт предни
пада паѓа
магистрала магистрала
кръст крос
света свету
февруари фебруари
второ втора
елемент елементот
показател показател
дакота дакота
погребан закопана
заглавие насловот
л л
преподаватели факултет
професионални професионалец
всички секого
ширината ширината
старо стари
режисиран режисиран
отделни одделни
данни податоци
средна медиум
сериозно сериозно
малко мал
различен различно
мене мене
зависимост зависности
скопски скопски
въоръжена вооружена
призната призната
единица единица
националните националните
скали камен
гота гота
никопол никопол
липса отсуство
дом домот
великите великите
годишна годишна
представена представена
състав состав
добив добив
ра ра
облак облак
просветни просветни
флора флора
забележителности разгледување
раждане раѓањето
максимум максимум
следите следите
храм храмот
добър добар
бог господ
духовници духовници
османското османското
светлина светло
заем заем
хасан хасан
подвид подвид
сектор сектор
фактори фактори
писатели писатели
александров александров
целта целта
река ривер
градски урбано
представител преставник
гост гост
ясно очигледно
централен централно
слаба слаба
преминава пропусници
процеси процеси
сцена бина
изследване истражувања
плоча таблет
връзка однос
господин господин
път road
защо зошто
духовни духовни
източна источно
открит најден
растеж растеж
признаци признаци
изглед изглед
погребан закопан
частично делумна
построена изградена
състезания натпреварувања
стопанско стопанско
факултет факултет
забележителности прошетките
приет усвоена
успешно успешно
въпроси прашања
квартал маало
десет ten
представени представени
алън алан
бази бази
участват учествува
име име
футболисти фудбалери
поезия поезија
родителите родителите
гражданска граѓански
уеб пајажина
суматра суматра
аскани аскани
възстановяване врати
доктрина доктрина
техника техника
промишленост индустрија
предмети предмети
активно активно
австрия австриско
квартали квартали
бяло бел
начало начало
западните западна
вегас вегас
бан бан
създаден создадени
обект тема
трона трон
едгар едгар
комитета комитета
водни водни
